Funder Name,Charity Number,Change Type,Date,Description,Additional Details
,,Did not open new window,01/05/2025,Not opening their usual annual funding round in 2025 and  are currently closed to new applications as they continue to support  current charity partners.,
The Worshipful Company of Information Technologists Charitable Trust,293919,Restructuring,01/05/2025,"The Charity tightened their eligibility criteria due to high demand.  In tandem with this update, they also transitioned to a new application portal in May.","As experienced by so many other UK grant-making organisations, the WCIT Charity has seen an unprecedented rise in applications over the last year. Sadly, our grant-making resources cannot match this need, so our previously broad eligibility criteria have been tightened to make it fairer and more transparent for applicants.

The change took effect from May 8, 2025, and the full eligibility criteria can be found on our website: https://wcitcharity.org.uk/wp-content/uploads/2025/05/Application-guidelines-April-2025.pdf

Remaining funds for 2025  ï¿½  ï¿½39,806
Typical number of applications per quarter  ï¿½ 170
Typical number of grants made per quarter  ï¿½ two"
,,One to watch,01/05/2025,"There was an unprecedented number of applications for Multi Year funding this year, far exceeding the available funding.

The total amount requested for Multi Year Grant Aid in 2025 was approximately  ï¿½10,360,000.

The Commission's available Multi Year Grant Aid budget for 2025 is about  ï¿½1,140,000.

As a result, only about 1 in 10 applications can be approved.",
David Solomons Charitable Trust,297275,Paused,01/05/2025,"The Trust have reached their funding quota and all available funds
have been allocated.

They will review this situation in March 2026 and will amend this
message if more funds become available.",
The Joanna Brown Trust,1126272,Paused,01/05/2025,"Due to high number of requests, currently not accepting any grant applications.",
Masonic Charitable Foundation,1164703,Paused,01/05/2025,Currently paused and are not accepting new applications,Our funding programme for People living with dementia and their carers' is currently paused and we are not accepting new applications from charities supporting this target group. Further updates regarding this programme will be provided on our website as soon as they are available.
Forvis Mazars Foundation Uk,1211626,Restructuring,01/04/2025,The Foundation have moved to proactive grant-making,
Bruce Wake Charity,1018190,Closing,01/04/2025,"We are no longer accepting applications. 

The charity has been operating for over 30 years and over that time has supported many organisations, however the Trustees have now taken the decision to wind down the operations of the Charity with a view to ultimate closure. As a consequence,  the Charity has ceased to accept any new grant applications with effect from 5th April 2025.

Any qualifying applications that have been received up to and including 4th April 2025 (received before 5pm) will be considered by the Trustees at their next meeting which is due to be held in May.",
,,Re-Opening,01/04/2025,"The Foundation will shortly re-open to applications (with a very short application window!). The Foundation's website states:

 To be considered, email your application between May 19 ï¿½23, 2025.",
Ernest Hecht Charitable Foundation,1095850,Paused,01/04/2025,The Foundation have closed it's applications process and will remain closed until further notice.,
Ernest Hecht Charitable Foundation,1095850,Closing,01/04/2025,Please be advised that we will not be accepting any applications for funding in the future. The Foundation will be wound up at the end of the year and from now until then will be honouring previously made pledges.,
Harford Charitable Trust,299945,Restructuring,01/04/2025,The trust will only support charities previously funded and is not taking on new charities.,
Uk Research And Innovation Ukri,,Paused,01/04/2025,"From January 2025, Innovate UK is pausing Smart Grants to develop tailored support, with a new pilot launching in spring 2025 to help startups tackle innovation, sustainability and scaling.",
Minton Charitable Trust,1112106,Removed,01/04/2025,https://register-of-charities.charitycommission.gov.uk/en/charity-search/-/charity-details/4019361/governance,
Bentley,,Paused,01/03/2025,"After 10 rounds of funding, the programme is taking a pause whilst they undertake some strategic work on improving the programme. Expect funding to be available again later in the year, so please do check the website for when this will be. It is expected that this will be in Q3.",
Three Monkies Trust,1164342,Paused,01/03/2025,"At the end of 2024 the Trust decided that they would not be open for new applications. 
No further information as at July 2025",
,,Paused,01/03/2025,Funding is paused at the moment while they work their way through the applications from the last campaign.,
Anne Duchess of Westminster’s Fund (Adwf),,Spending out,01/03/2025,The Trustees permanently closed its grant programme from 31st March 2025 and to spent out the entirety of the fund thereafter.,"""This decision is born out of a thorough evaluation of the Fund's mission and the most impactful way to utilise its resources for greater good."" ""Following a thorough evaluation of the Fund's mission, the Trustees have concluded that concentrating
ADWF's efforts and investments in a defined timeframe will allow them to create more impactful and long-
term change in the areas ADWF focusses on and cares deeply about"" (from ADWF website, accessed 30th April 2024)"
